騒然とする	そうぜんとする	시끄럽다
凝視する	ぎょうしする	응시하다
じっと見る	じっとみる	지그시 보다
かねがね		"전부터, 진작부터"
当面		당분간
ぼやく		투덜거리다
愚痴を言う	ぐちをいう	투덜거리다
コンパクトな		소형의
小型	こがた	소형
極力	きょくりょく	"극력, 힘껏, 최대한"
できるだけ		가능한 한
つぶやく		"중얼거리다, 투덜대다"
不審な	ふしんな	"수상한, 의심스러운"
ばてる		지치다
まっとうする		"완수하다, 다하다"
完了する	かんりょうする	완료하다
異例の	いれいの	이례적인
打ち込む	うちこむ	몰두하다
ルーズな		허술한
だらしない		"야무지지 못한, 허술한"
脈絡		맥락
つながり		"연계, 연관"
つぶさに		"자세히, 구체적으로"
検討	けんとう	검토
すみやかに		"빨리, 신속히"
妨害する	ぼうがいする	방해하다
エレガントな		우아한
つかの間の	つかのまの	잠깐 동안의
しくじる		"망치다, 실패하다"
失敗する	しっぱいする	실패하다
スライス		슬라이스
めいめいに		각각에게
手立て	てだて	"방법, 방도"
ありありと		뚜렷이
しぶる		주저하다
粘り強く	ねばりづよく	끈기 있게
入念に	にゅうねんに	"공들여, 꼼꼼히"
うすうす		어렴풋이
なんとなく		"왠지 모르게, 그냥"
難点	なんてん	"난점, 곤란한 점"
むっとする		"화가 치밀다, 욱하다"
照会	しょうかい	"조회, 문의"
抱負	ほうふ	포부
決意	けつい	결의
余裕	よゆう	여유
わずか		"조금, 약간"
撤回する	てっかいする	철회하다
張り合う	はりあう	경쟁하다
競い合う	きそいあう	경쟁하다
かたくなな		"완고한, 고집이 센"
端的に	たんてきに	단적으로
かろうじて		"겨우, 간신히"
何とか	なんとか	"그럭저럭, 간신히"
自尊心	じそんしん	자존심
プライド		"프라이드, 자존심"
ささいな		사소한
とまどう		"당황하다, 망설이다"
故意に	こいに	고의로
わざと		일부러
おわび		사죄
意気込み	いきごみ	"의욕, 기세, 패기"
おびえる		"무서워하다, 겁먹다"
安堵する	あんどする	안도하다
ほっとする		안심하다
仕上がる	しあがる	완성되다
完成する	かんせいする	완성되다
互角	ごかく	"호각, 막상막하"
苦情	くじょう	"불평, 불만"
助言	じょげん	조언
アドバイス		"어드바이스, 충고"
錯覚	さっかく	착각
勘違い	かんちがい	착각
殺到	さっとう	쇄도
弁解する	べんかいする	변명하다
ありふれた		"어디에나 있는, 흔해빠진"
うろたえる		당황하다
慌てる	あわてる	허둥대다
糸口	いとぐち	"실마리, 단서"
ヒント		힌트
ふいに		느닷없이
無償で		무상으로
ただで		무료로
ストレートに		"단도직입적으로, 솔직하게"
率直に	そっちょくに	솔직하게
格段に	かくだんに	현격히
いたって		"지극히, 대단히"
案の定	あんのじょう	"아니나다를까, 예측대로"
不用意な	ふよういな	조심성이 없는
不注意な	ふちゅういな	부주의한
回想	かいそう	회상
思い返す	おもいかえす	다시 생각하다
従来の	じゅうらいの	종래의
これまでの		지금까지의
抜群	ばつぐん	"발군, 뛰어남"
バックアップ		"백업, 지원"
支援	しえん	지원
仰天	ぎょうてん	"깜짝 놀람, 기겁함"
おおむね		"대체로, 대강"
雑踏	ざっとう	"혼잡, 혼잡한 곳"
